symbol,edge_name,category,horizon_bars,direction,n_signals,hit_rate,mean_return_bps,std_return_bps,sharpe,t_stat,p_value,expectancy_bps,edge_score,sample_pct
QQQ,dow_midweek,TIME_OF_DAY,100,long,3023,0.6752,144.83,437.69,1.339,18.193,0.0,437830.5,18.193,59.64
XLK,momo_5d_strong_down,MOMENTUM,390,long,664,0.7696,818.46,1159.73,1.446,18.185,0.0,543457.5,18.185,13.09
XLI,tod_power_hour,TIME_OF_DAY,390,long,914,0.7046,405.06,676.18,1.228,18.11,0.0,370222.2,18.11,18.02
GLD,tick_imb_negative,ORDERFLOW,100,long,940,0.766,275.24,466.89,2.386,18.074,0.0,258721.0,18.074,18.55
GC=F,tod_lunch_lull,TIME_OF_DAY,390,long,1167,0.7224,252.81,478.14,1.084,18.062,0.0,295027.5,18.062,8.51
XLY,momo_acceleration_pos,MOMENTUM,390,long,1608,0.7114,366.48,814.72,0.922,18.038,0.0,589296.7,18.038,31.7
XLC,golden_cross_state,MOMENTUM,100,long,3293,0.6526,97.33,309.78,1.272,18.03,0.0,320514.5,18.03,64.93
GC=F,death_cross_state,MOMENTUM,100,long,4889,0.6748,72.2,280.4,1.042,18.004,0.0,352986.5,18.004,35.64
XLU,tod_lunch_lull,TIME_OF_DAY,390,long,1335,0.6929,307.4,624.08,1.009,17.997,0.0,410379.6,17.997,26.32
XLC,inside_bar,STRUCTURE,390,long,642,0.7788,441.79,622.57,1.454,17.981,0.0,283632.0,17.981,12.66
DIA,cvd_rising_strong,ORDERFLOW,390,long,919,0.7301,329.46,557.16,1.212,17.926,0.0,302776.1,17.926,18.13
ES=F,tick_imb_positive,ORDERFLOW,390,long,2621,0.7192,127.71,364.77,0.717,17.924,0.0,334715.4,17.924,19.16
YM=F,rvol_high_decile,VOL_REGIME,390,long,1540,0.7084,153.68,336.69,0.935,17.913,0.0,236672.6,17.913,11.27
IWM,trend_below_50sma,MOMENTUM,390,long,2138,0.7044,348.25,899.36,0.794,17.905,0.0,744568.5,17.905,42.19
SLV,tick_imb_negative,ORDERFLOW,390,long,863,0.7694,1603.36,2636.37,1.246,17.866,0.0,1383700.5,17.866,17.03
GC=F,tod_power_hour,TIME_OF_DAY,390,long,1154,0.7184,256.3,487.5,1.077,17.859,0.0,295766.4,17.859,8.41
AUDUSD=X,trend_below_50sma,MOMENTUM,390,long,8168,0.5699,39.43,199.87,0.404,17.83,0.0,322077.1,17.83,47.13
XLY,trend_below_50sma,MOMENTUM,390,long,2049,0.692,336.14,853.59,0.807,17.825,0.0,688745.2,17.825,40.4
GC=F,range_contraction,VOL_REGIME,390,long,1146,0.7007,245.72,468.08,1.076,17.771,0.0,281597.8,17.771,8.35
SI=F,cvd_rising_strong,ORDERFLOW,390,long,2725,0.658,356.9,1048.45,0.698,17.77,0.0,972542.2,17.77,19.87
XLB,rvol_high_decile,VOL_REGIME,390,long,506,0.7905,518.33,656.26,1.619,17.767,0.0,262273.2,17.767,9.98
SI=F,rvol_high_decile,VOL_REGIME,390,long,1458,0.6907,612.82,1322.2,0.95,17.698,0.0,893491.3,17.698,10.63
GC=F,tod_european_open,TIME_OF_DAY,390,long,1161,0.7235,249.77,482.68,1.06,17.632,0.0,289980.1,17.632,8.46
GLD,rsi_extreme_low_20,MEAN_REV,390,long,39,1.0,975.29,345.8,5.78,17.613,0.0,38036.2,17.613,0.77
