symbol,asset_class,strategy,sharpe,cagr,maxdd,pf,n_flips,total_ret
SPY,INDEX,TSMOM_200,0.36609368328748504,0.04397493095483829,-0.22399292439924523,1.030607577997035,100,0.13329559734928553
SPY,INDEX,Donchian_20/10,-0.25268524493708455,-0.04746130935683057,-0.25978241814608694,0.9798277270862586,176,-0.13184119817230855
SPY,INDEX,Donchian_55/20,-0.18309259083924748,-0.03748822243436978,-0.25528277139313643,0.9852658742660917,86,-0.10514745262362601
SPY,INDEX,GoldenCross_50/200,1.7624134534334683,0.1762007410985018,-0.06643136279527759,1.1697697408991379,17,0.6029932241117075
SPY,INDEX,MACD,0.061740996391159486,-0.0018487695152267225,-0.1705826767837797,1.0049803277648244,379,-0.005366004118321777
SPY,INDEX,MACD_trendfilt,0.5988968491717465,0.05590220231438736,-0.12047113542530914,1.0691950534245114,467,0.17135409293430692
SPY,INDEX,Clenow_Momo,1.0047998134683815,0.0858195313775032,-0.09340916085476383,1.1041282777567794,222,0.2704829849961168
SPY,INDEX,DualMomo_240,1.4065557006383353,0.13803044417237587,-0.1273518070648446,1.1363213811785935,117,0.4563738891087892
SPY,INDEX,Connors_RSI2,1.892026034575314,0.09049574090740187,-0.04141852947882863,1.434724366051523,282,0.28645729276262033
SPY,INDEX,Bollinger_MR,0.9684291741811517,0.08248181623491724,-0.10520086315505772,1.167759328004208,171,0.25916104688246233
SPY,INDEX,Keltner_Break,0.037338182617259595,-0.005492572088210412,-0.3244333394664872,1.0030168970206246,84,-0.015886663349385155
SPY,INDEX,RSI_Pullback,0.8301607572362476,0.04704255631388876,-0.057723619551772284,1.12641900234782,73,0.1430053081594438
SPY,INDEX,VolTarget_Trend,1.4841231463776774,0.22236488719935976,-0.09698266891211431,1.1436231581893375,2614,0.7928544091866467
^NDX,INDEX,TSMOM_200,0.6725275893475676,0.1156469649918237,-0.16789692665924869,1.0556016687692253,108,0.37463935277147886
^NDX,INDEX,Donchian_20/10,0.4021347995421854,0.060511937426241724,-0.1996527459701783,1.032150398663658,162,0.18628484848044335
^NDX,INDEX,Donchian_55/20,0.07719787516583501,-0.003579631329532207,-0.2736721059432302,1.0061092863288092,77,-0.010372629793201305
^NDX,INDEX,GoldenCross_50/200,1.3805093593707616,0.1891293701602934,-0.13081955102902365,1.134071891840233,21,0.6547636138410324
^NDX,INDEX,MACD,-0.07383167179575731,-0.032094006076417214,-0.26406806393632587,0.9942254990946062,391,-0.0904876783297226
^NDX,INDEX,MACD_trendfilt,0.24924863869873096,0.023808934175570506,-0.13009535054452923,1.0271423590349065,505,0.07081018236764414
^NDX,INDEX,Clenow_Momo,0.7754043207129504,0.0839078022946047,-0.14964752423114616,1.082244042350296,238,0.2639900311900365
^NDX,INDEX,DualMomo_240,1.3821123587306239,0.18584560879814793,-0.13808220264924057,1.1369572195633288,99,0.6415120144405804
^NDX,INDEX,Connors_RSI2,0.935281790992573,0.061820005335395,-0.06049560126138637,1.182754020626297,290,0.19054425232942496
^NDX,INDEX,Bollinger_MR,0.46619642936226885,0.04606644516882019,-0.14753680725150564,1.0731496924658401,171,0.1399098050346299
^NDX,INDEX,Keltner_Break,-0.007118430261582528,-0.019618345115488434,-0.34778144260406335,0.9994401005436072,94,-0.05598121789299615
^NDX,INDEX,RSI_Pullback,-0.30867557412382757,-0.026037111126693935,-0.13362516452512793,0.9497654315766854,91,-0.07384017729548065
^NDX,INDEX,VolTarget_Trend,1.0606255797539152,0.16583289694700576,-0.12151824323037094,1.106033828666287,3319,0.5622536887575869
^GSPC,INDEX,TSMOM_200,0.16091767742674182,0.01293044184025538,-0.2750044035166746,1.0133314400540796,125,0.03806201352699712
^GSPC,INDEX,Donchian_20/10,0.10375206964525298,0.004384746436103759,-0.19101372172327374,1.0084009552636868,171,0.012802467412056817
^GSPC,INDEX,Donchian_55/20,-0.08785554398531416,-0.02372005751083983,-0.2272075579790776,0.9929166133744357,83,-0.0674192323670757
^GSPC,INDEX,GoldenCross_50/200,1.8165562799327817,0.18090258092572253,-0.0673681610908217,1.1760541129521682,17,0.6216960435472922
^GSPC,INDEX,MACD,0.15026302424326762,0.011378212077691963,-0.15685370147612185,1.0121597899808714,368,0.033443533891862165
^GSPC,INDEX,MACD_trendfilt,0.6736094604580267,0.0628611515566555,-0.10995929168727932,1.0774746241523996,453,0.19394165288604848
^GSPC,INDEX,Clenow_Momo,1.03744878907781,0.08826713909452266,-0.0913955207872449,1.1075656116101902,229,0.27882787624266103
^GSPC,INDEX,DualMomo_240,1.355151385088546,0.13261996867045522,-0.13044984322854833,1.132449115027935,109,0.43633296473606764
^GSPC,INDEX,Connors_RSI2,1.9136403669281339,0.09239704986167996,-0.040507285901427936,1.4459955884708762,285,0.29298980731895985
^GSPC,INDEX,Bollinger_MR,0.8603635700418762,0.07253059977293597,-0.10520776181486023,1.1503030752216208,164,0.225798666326938
^GSPC,INDEX,Keltner_Break,-0.13363458273379972,-0.030357301162902806,-0.34901727981708164,0.9892824403020042,93,-0.0857345586602859
^GSPC,INDEX,RSI_Pullback,0.771609766976376,0.043510772655432906,-0.07074426797292736,1.1197110777767245,66,0.13183116484290358
^GSPC,INDEX,VolTarget_Trend,1.564239152154879,0.23382195375465953,-0.10313473427275553,1.1520233359828043,2580,0.8421522686487106
DIA,INDEX,TSMOM_200,0.22640204297749636,0.021933693021504164,-0.18449388190693497,1.0184063635621683,95,0.06511738092569197
DIA,INDEX,Donchian_20/10,-0.14648732772861808,-0.029662967702418608,-0.22988983100513627,0.9884824862037949,163,-0.0838297141081995
DIA,INDEX,Donchian_55/20,-0.1536362638275878,-0.030542511886775814,-0.24477996602246607,0.987881491626727,85,-0.08624222909176871
DIA,INDEX,GoldenCross_50/200,0.9491579375836444,0.08593647092076862,-0.07513787031030347,1.0906695856672721,25,0.27088086443759907
DIA,INDEX,MACD,-0.4996664501294818,-0.07627180385029109,-0.24025989088331945,0.9613453212484333,396,-0.20600749683800534
DIA,INDEX,MACD_trendfilt,-0.058235674031170456,-0.010201338848308872,-0.14735649225260988,0.9934384551106739,495,-0.02937367258865653
DIA,INDEX,Clenow_Momo,0.5128956527263376,0.03895728660347442,-0.09156122590143896,1.0520756352179175,237,0.11753057017175461
DIA,INDEX,DualMomo_240,0.8466995178428832,0.0800566564218177,-0.1257532619338886,1.0785910441610602,77,0.2509762682965082
DIA,INDEX,Connors_RSI2,1.112945007576008,0.046255802570758675,-0.04765239989669521,1.2100294383767634,281,0.14050987622572841
DIA,INDEX,Bollinger_MR,0.3457949525991558,0.024613318957335206,-0.13784095613323905,1.0568125348023087,164,0.07325821454290438
DIA,INDEX,Keltner_Break,0.7677564533560612,0.10209086778557719,-0.15902145744704838,1.062594960113805,69,0.3266342917575862
DIA,INDEX,RSI_Pullback,-0.014779079226740295,-0.0021994074382064577,-0.10426898110721629,0.9976914821969401,72,-0.006381585211787777
DIA,INDEX,VolTarget_Trend,1.0073836866064256,0.13947678733118285,-0.13567715574535463,1.0976162527496052,2566,0.4617621792950217
QQQ,INDEX,TSMOM_200,0.723709554971708,0.12628122062720815,-0.1840475010630893,1.0598662896138764,118,0.413084826349432
QQQ,INDEX,Donchian_20/10,0.22357231644928316,0.024764895796805186,-0.2580252054131796,1.0177155457450855,163,0.07371992811561845
QQQ,INDEX,Donchian_55/20,-0.015144547190021417,-0.020938931026121543,-0.29112453612227596,0.998804054895705,76,-0.059673784240327654
QQQ,INDEX,GoldenCross_50/200,1.4747200473821698,0.20197876615746524,-0.1305854885119321,1.143933979137291,21,0.7072916882479237
QQQ,INDEX,MACD,-0.12257420270754123,-0.04103341584553988,-0.2614016141901396,0.9904400054619187,386,-0.11469722349366152
QQQ,INDEX,MACD_trendfilt,0.2419262244673077,0.0227949272123551,-0.1285369275257186,1.0262223925174163,501,0.06772941807421207
QQQ,INDEX,Clenow_Momo,0.8054368712317466,0.08721596691266109,-0.1453050255671546,1.0850358884133062,223,0.2752396108794075
QQQ,INDEX,DualMomo_240,1.5222750114600136,0.20643524864238283,-0.13936201479769614,1.151878057825481,99,0.725761915556757
QQQ,INDEX,Connors_RSI2,0.7542809322548709,0.04889616546948439,-0.05417676427396839,1.149438134641283,277,0.14889875631842076
QQQ,INDEX,Bollinger_MR,0.5799558351064663,0.058581059151689985,-0.14762061459091635,1.0918126828990413,172,0.18001570540502065
QQQ,INDEX,Keltner_Break,-0.00019278837060890153,-0.018241578644511813,-0.3895034981070031,0.9999848577526382,87,-0.05212144635655369
QQQ,INDEX,RSI_Pullback,-0.22324572761434694,-0.01951986965260699,-0.1633857399984386,0.9631561783011797,88,-0.055705484484744994
QQQ,INDEX,VolTarget_Trend,1.1558543893570064,0.1821029016932596,-0.12568990931542015,1.1164300769246622,3301,0.626493466007094
IWM,INDEX,TSMOM_200,0.4530304475001248,0.07724143068328271,-0.27170246547139626,1.037033371887045,85,0.24151890990061542
IWM,INDEX,Donchian_20/10,-0.42067660547833163,-0.108855774346717,-0.4219792479076719,0.9673930677813876,158,-0.28473179478433497
IWM,INDEX,Donchian_55/20,-0.9256336192269249,-0.20112311011322814,-0.5859938806990289,0.9294091621379647,86,-0.4794641140658834
IWM,INDEX,GoldenCross_50/200,0.9426618514919206,0.13912288468738376,-0.1817613103335046,1.098801800138758,21,0.46044252347356296
IWM,INDEX,MACD,-0.2877138949192321,-0.08277398231298017,-0.4948069403135679,0.977630784101059,374,-0.22214907570095166
IWM,INDEX,MACD_trendfilt,-0.4575267774903075,-0.08024314645199782,-0.3413796271262065,0.9495108568380175,512,-0.21589215454265065
IWM,INDEX,Clenow_Momo,0.4763866308763865,0.05572055462489911,-0.13839948953115405,1.0532365853796062,219,0.17076828208369843
IWM,INDEX,DualMomo_240,0.40705878728846634,0.052003574046705525,-0.20656412996512072,1.0409048017571434,97,0.15882325220960625
IWM,INDEX,Connors_RSI2,0.4136973909933562,0.030288378533299687,-0.13417707906149506,1.0853097256248938,251,0.09063386346461133
IWM,INDEX,Bollinger_MR,1.1416571152571624,0.13513328623987575,-0.1053188171089327,1.191390408621651,190,0.44561987833673555
IWM,INDEX,Keltner_Break,-0.4496888454952157,-0.11443448618264185,-0.4871398779948323,0.9651855639860996,93,-0.29767354956254355
IWM,INDEX,RSI_Pullback,-0.08625287640895056,-0.01039235545440953,-0.18096229669194075,0.9857937828879932,73,-0.029918213706637498
IWM,INDEX,VolTarget_Trend,0.7530894128591388,0.10497015919775121,-0.17174253535921724,1.0817315435790675,3003,0.3367369448613555
MDY,INDEX,TSMOM_200,0.006371951022642766,-0.015372916864424324,-0.2555391880794558,1.000525466544969,125,-0.04404590867218594
MDY,INDEX,Donchian_20/10,-0.5987645366132701,-0.11953397208183447,-0.4082816950021592,0.9527200079019591,171,-0.3093683091996906
MDY,INDEX,Donchian_55/20,-0.34559443367680476,-0.07728738555327297,-0.29438090367099756,0.9723413642546218,79,-0.20854300991399932
MDY,INDEX,GoldenCross_50/200,0.4997637569662046,0.054246481670761515,-0.15373868280033812,1.0519763687435686,31,0.16602152810412885
MDY,INDEX,MACD,-0.10047779862054061,-0.034885416925304225,-0.3220444625023371,0.9919236065341497,376,-0.09809336160403914
MDY,INDEX,MACD_trendfilt,0.10175022881625827,0.004922167964130697,-0.2071303427573887,1.011579270081855,491,0.014378973372741077
MDY,INDEX,Clenow_Momo,0.05180083384550579,-0.0006049351476808962,-0.17111070471769385,1.0060355945393167,247,-0.00175789326457243
MDY,INDEX,DualMomo_240,0.35836530096770786,0.036849222302914875,-0.16443492000123752,1.0357920854034972,111,0.11095037026699806
MDY,INDEX,Connors_RSI2,0.5108553268023457,0.026549350401531058,-0.08051993289057904,1.095092295099674,254,0.07916530146917689
MDY,INDEX,Bollinger_MR,0.5083756928591545,0.04706589444282527,-0.11918783714070767,1.0839878043364146,182,0.1430793868801281
MDY,INDEX,Keltner_Break,-0.45723635850509997,-0.09624125316528132,-0.39066442761492426,0.9636932991026588,97,-0.25489342337010246
MDY,INDEX,RSI_Pullback,0.1449402547402436,0.008190311016357255,-0.09474579474358363,1.022798305404201,56,0.024000622795050663
MDY,INDEX,VolTarget_Trend,0.27910103705334693,0.030362490509571627,-0.2074537935059167,1.02989298936029,2898,0.09086198834810189
ES=F,FUTURE,TSMOM_200,-0.3079217238534825,-0.06049426220027887,-0.3581988952796916,0.9854130294772814,369,-0.13885285919085966
ES=F,FUTURE,Donchian_20/10,-0.6209435868792375,-0.10688337641256418,-0.3322644372264953,0.971038902743955,472,-0.23722813631070383
ES=F,FUTURE,Donchian_55/20,-0.9311218234668073,-0.15034994138542512,-0.4372407321550842,0.9568632293857401,219,-0.32315973285034383
ES=F,FUTURE,GoldenCross_50/200,1.0236082994196218,0.09661695613392496,-0.12193335597295638,1.0579760260211832,87,0.24725838716035398
ES=F,FUTURE,MACD,-0.1550415783859185,-0.03719806459704633,-0.35516899236022964,0.9926956808657091,1061,-0.08681071197089785
ES=F,FUTURE,MACD_trendfilt,-0.4142441471270847,-0.04946220895922593,-0.33890863642956953,0.9736180622379981,1454,-0.11442971054433093
ES=F,FUTURE,Clenow_Momo,1.1166870610779887,0.09415292168633771,-0.12731411153754543,1.0686358020804547,598,0.24055514666994182
ES=F,FUTURE,DualMomo_240,0.8959044464160294,0.08438859854964265,-0.1608715871278505,1.0499165048281076,323,0.2141986135909042
ES=F,FUTURE,Connors_RSI2,0.5962742038748817,0.028803911246622294,-0.0642035682212535,1.0690133830185464,713,0.07039539552618201
ES=F,FUTURE,Bollinger_MR,0.6333365777952898,0.05777768836012842,-0.14782779073170654,1.058572374428769,523,0.14403603512393715
ES=F,FUTURE,Keltner_Break,-0.43521083240736597,-0.07975940394287462,-0.3518717347984225,0.9796106140107296,222,-0.18055187928039373
ES=F,FUTURE,RSI_Pullback,0.6643688801860168,0.034184778050115217,-0.07994295444503441,1.0721137275682904,177,0.08385601172438917
ES=F,FUTURE,VolTarget_Trend,0.8199561749041353,0.13248853773129632,-0.22107085561912637,1.044868787083606,1810,0.34723841498310715
NQ=F,FUTURE,TSMOM_200,-0.2358453033485457,-0.06746988277754129,-0.3851713891386065,0.9892614810757508,390,-0.15409075004491501
NQ=F,FUTURE,Donchian_20/10,-0.8581414718048462,-0.1802663860717596,-0.4940465762182625,0.9617776943237449,478,-0.3788553518278812
NQ=F,FUTURE,Donchian_55/20,-0.953335033569414,-0.19615108235526146,-0.5497673599423701,0.9576053829554744,215,-0.4073012321124254
NQ=F,FUTURE,GoldenCross_50/200,0.9438031248419773,0.11753084604739783,-0.16939218350141863,1.0529108218605603,87,0.3050027974986136
NQ=F,FUTURE,MACD,0.7872156039268893,0.15194521534097882,-0.27323640939060073,1.0363616412538152,1033,0.40335412223882416
NQ=F,FUTURE,MACD_trendfilt,0.4748387397321443,0.05802936124492719,-0.2828390569445894,1.0302312895727632,1380,0.14468822140425086
NQ=F,FUTURE,Clenow_Momo,0.8172979825576182,0.09002736559865165,-0.16682611116728632,1.0500762962843675,615,0.2293789314680097
NQ=F,FUTURE,DualMomo_240,1.0403378459987638,0.1332803803781344,-0.17580302807211645,1.0577694101975181,295,0.3494961825230407
NQ=F,FUTURE,Connors_RSI2,1.1576235496050735,0.07773736415764465,-0.08172493809223012,1.137361904412373,691,0.196433680846672
NQ=F,FUTURE,Bollinger_MR,0.6012066795150272,0.0695864511245341,-0.17572534625887481,1.052390561867943,531,0.17487093770195594
NQ=F,FUTURE,Keltner_Break,-0.07244305267904068,-0.03574695468153544,-0.43179661350667853,0.9967151509381389,211,-0.0835100686231347
NQ=F,FUTURE,RSI_Pullback,0.989791250124013,0.06941508672614605,-0.10475079030565132,1.1001171938879457,173,0.17442005441102926
NQ=F,FUTURE,VolTarget_Trend,0.7709197777881067,0.14934780493839095,-0.24750784264611198,1.042102339500799,3608,0.3957856157171826
YM=F,FUTURE,TSMOM_200,-0.18055670790063263,-0.037291554709240615,-0.16927616784657679,0.9914557780622256,344,-0.08702312342662799
YM=F,FUTURE,Donchian_20/10,-0.5835682937519625,-0.09366229053282282,-0.33668674065706405,0.9728676411108456,466,-0.20989790547888876
YM=F,FUTURE,Donchian_55/20,-1.1072832955259524,-0.16167692874109785,-0.427808717205715,0.9490451164779109,217,-0.3445751472229496
YM=F,FUTURE,GoldenCross_50/200,0.8756274368406298,0.07860308969261243,-0.08000974302901952,1.051819441526365,85,0.1987373342733756
YM=F,FUTURE,MACD,0.329784425631141,0.03887961797361239,-0.15321313502860914,1.0156591071503025,1019,0.09568061223328939
YM=F,FUTURE,MACD_trendfilt,0.30872681197979407,0.026505068579157687,-0.14047837540822816,1.019892792150247,1380,0.06467453704971438
YM=F,FUTURE,Clenow_Momo,0.5311616903141829,0.041335680125109464,-0.09814335307656732,1.0344796124211404,587,0.10189634064880004
YM=F,FUTURE,DualMomo_240,0.6458368313884266,0.05708517785922229,-0.07509867498934202,1.036459666307641,313,0.14224257774559868
YM=F,FUTURE,Connors_RSI2,0.5413367012377938,0.025456323286729532,-0.062075114019944484,1.0664709557111647,666,0.062070579304184026
YM=F,FUTURE,Bollinger_MR,0.5621706038508172,0.046844647287333396,-0.12511194587998567,1.0514526451834307,554,0.11591283522463214
